mint,state,size_sol,entry_price,exit_price,exit_reason,gross_pnl_sol,fees_sol,net_pnl_sol,pnl_pct,mfe_pct,mae_pct,hold_ms,exit_trigger_to_confirm_ms,entry_soft_score,high_volatility,feed_source,venue,slippage_sol,mode,relaxed_risk,relaxed_reasons_json,opened_at,closed_at,entry_tx,exit_tx
Bwy71b5nYZ4KwdzsnNkjZoRvtBjWier1ZZZvNqPrpump,CLOSED,0.015,3.36156434790091e-7,1.0167650255030142e-9,EMERGENCY_EXIT,-0.014954629827651318,0.00047828163893803654,-0.015432911466589355,-102.88607644392904,4.529882718696747,-99.69753218434212,347073,,85,0,,,0.0000032816389380365364,dry-run,1,"[""relaxed_h5_top10""]",2026-09-23T21:30:33.565Z,2026-09-23T21:36:20.638Z,,
FJBhwazXfL5antXd7gVNmLYrWpmDt4xnLWxXkPo7pump,CLOSED,0.03,3.2578953620106335e-7,3.7982449196281733e-7,TAKE_PROFIT_1,0.004975754260726708,0.0005800013846144999,0.004395752876112208,14.652509587040694,16.585847535755697,-0.3894219475073596,4783,,85,0,,,0.0000300013846144998,dry-run,0,,2026-09-23T21:37:31.391Z,2026-09-23T21:37:36.174Z,,
euwCqqdorT6VCYgQjVg9jeT3dpXvjuv86EGQtBVpump,CLOSED,0.03,3.229458723401467e-7,3.218579993375622e-7,TRAILING_STOP,-0.00010105777120185787,0.0005767514144876472,-0.0006778091856895051,-2.2593639522983504,12.008930234213212,-1.4636516218756734,50459,,85,0,,,0.000026751414487647264,dry-run,0,,2026-09-23T21:39:28.321Z,2026-09-23T21:40:18.780Z,,
6s4w7JLAM5e2kqPpf7pVtJvbnPU9MwyvNtKZrc2jpump,CLOSED,0.03,3.5035230460374815e-7,4.1048959669618854e-7,TAKE_PROFIT_1,0.0051494416878852456,0.0005789299438248987,0.0045705117440603465,15.235039146867821,17.164805626284164,-1.7437187950219986,3478,,85,0,,,0.00002892994382489867,dry-run,0,,2026-09-23T21:44:34.751Z,2026-09-23T21:44:38.229Z,,
rGejF4pz1XW6DftreGqtMqhi1R2uYiSJe9sewTTQTnu,CLOSED,0.015,3.257895350797487e-7,4.0165010321077716e-7,TAKE_PROFIT_1,0.003492771864777312,0.0004828526601281544,0.0030099192046491577,20.066128030994385,23.285145765182072,-0.9765181255813904,3309,,85,0,,,0.000007852660128154368,dry-run,1,"[""relaxed_h5_top10""]",2026-09-23T21:52:30.477Z,2026-09-23T21:52:33.786Z,,
23hVWFfuBE3PDijzeEVVgjA7PUiHJoVrEg1RnBrypump,CLOSED,0.03,3.2578954256162397e-7,2.5594960728659303e-7,STOP_LOSS,-0.00643113969152222,0.0005727776052360978,-0.007003917296758318,-23.346390989194393,4.028129021763157,-21.437132305074073,10854,,85,0,,,0.000022777605236097787,dry-run,0,,2026-09-23T21:54:53.572Z,2026-09-23T21:55:04.426Z,,
CUQScgAnRkE1pk1jHopaxaZy5k5ougCQ7bnKZojGVhV4,CLOSED,0.03,3.257895449009183e-7,3.75769729707826e-7,TAKE_PROFIT_1,0.004602374654666223,0.0005797458980002722,0.004022628756665951,13.408762522219837,15.341248848887416,0,4701,,85,0,,,0.00002974589800027223,dry-run,0,,2026-09-23T21:57:24.375Z,2026-09-23T21:57:29.076Z,,
Cid1om9uBjknK8sBmpbYyft7B9GrNK5HmSL4yC6Upump,CLOSED,0.03,3.6546210906621846e-7,4.2474379815299775e-7,TAKE_PROFIT_1,0.00486630659782336,0.0005780804733241875,0.004288226124499172,14.294087081663909,16.22102199274453,0,14024,,80,0,,,0.000028080473324187484,dry-run,0,,2026-09-23T22:03:33.801Z,2026-09-23T22:03:47.825Z,,
DniCkHuM7iR6KQFsaBnEef8QcBdzURCuSEPmQ7MCpump,CLOSED,0.03,3.224664663414292e-7,3.7657013735947333e-7,TAKE_PROFIT_1,0.00503342300660425,0.000580213019262168,0.004453209987342082,14.844033291140274,16.778076688680834,-0.08111647275970643,53656,,74,0,laserstream,pumpswap,0.000030213019262167992,dry-run,0,,2026-09-23T22:10:47.119Z,2026-09-23T22:11:40.775Z,,
G8TTWtBR6AqxzMC8nSwdVt7NCUDGvqjUEWRr5SXdpump,CLOSED,0.015,3.257895380328661e-7,2.692883823748843e-7,STOP_LOSS,-0.0026014258775376286,0.0004808740359858579,-0.0030822999135234866,-20.54866609015658,3.1056646690622713,-17.34283918358419,21245,,85,0,,,0.000005874035985857914,dry-run,1,"[""relaxed_h5_top10""]",2026-09-23T22:14:04.360Z,2026-09-23T22:14:25.605Z,,
Bf6NdK15im7f3o4zd6uWu6YRLrZyEnJ8Fq2uo2dbpump,CLOSED,0.03,3.150707378642702e-7,3.63888924928163e-7,TAKE_PROFIT_1,0.004648307303446564,0.0005803318833320373,0.004067975420114526,13.559918067048422,15.494357678155213,-2.7489324775461457,16555,,85,0,,,0.000030331883332037248,dry-run,0,,2026-09-23T22:17:56.137Z,2026-09-23T22:18:12.692Z,,
5jktuqX7UJfSs12ni3ggKZozhe41GFVDL3UHsSh3pump,CLOSED,0.03,3.257895315901402e-7,2.3786389832382175e-7,STOP_LOSS,-0.008096543142791957,0.0005718367304760521,-0.008668379873268009,-28.894599577560033,10.958594320038896,-26.988477142639855,2244,,85,0,,,0.00002183673047605203,dry-run,0,,2026-09-23T22:18:14.951Z,2026-09-23T22:18:17.195Z,,
PqgWBZcKzUU6w3xjM4kXfGbLU8UPcQNJj9q2nRbpump,CLOSED,0.03,3.2578953401159976e-7,3.746699800822363e-7,TAKE_PROFIT_1,0.004501106478352632,0.0005796711912806153,0.003921435287072017,13.071450956906725,15.003688261175435,-4.076076594942711,166689,,85,0,,,0.000029671191280615216,dry-run,0,,2026-09-23T22:18:52.609Z,2026-09-23T22:21:39.298Z,,
HdvunZKsLDXyR8WXof7X7CgWuDXjxeoFF26D3woVpump,CLOSED,0.015,3.257895341710971e-7,2.6870662170316244e-7,STOP_LOSS,-0.002628211152324312,0.00048086621875701867,-0.0031090773710813306,-20.727182473875537,1.1764875629466327,-17.52140768216208,13237,,85,0,,,0.000005866218757018679,dry-run,1,"[""relaxed_h5_top10""]",2026-09-23T22:23:14.124Z,2026-09-23T22:23:27.361Z,,
LWcDRsUJNQUW5mHg41V8jUCQmrqyroWzZNFdePppump,CLOSED,0.03,3.492290425012225e-7,3.536201578006239e-7,TRAILING_STOP,0.00037721221018317764,0.0005759089541141734,-0.00019869674393099574,-0.6623224797699858,13.597031335207726,0,6075,,85,0,,,0.000025908954114173332,dry-run,0,,2026-09-23T22:29:36.010Z,2026-09-23T22:29:42.085Z,,
4zXSm1YEaNH8ogrrHmYQcHp9xWtTxT8ixCT5BW3opump,CLOSED,0.03,3.3353889714333034e-7,2.8003365035888315e-7,STOP_LOSS,-0.0048125043803920655,0.0005734115155041436,-0.0053859158958962094,-17.9530529863207,4.484037403750845,-16.041681267973548,9405,,85,0,,,0.000023411515504143634,dry-run,0,,2026-09-23T22:37:15.536Z,2026-09-23T22:37:24.941Z,,
51Drbkyq864egZehu8iRdb2gCqGdSh92GVXhMsRYpump,CLOSED,0.03,3.365323791393558e-7,2.8382705533830065e-7,STOP_LOSS,-0.004698388066180419,0.0005733611097557343,-0.005271749175936154,-17.572497253120513,3.1925099850191208,-15.661293553934735,1324,,85,0,,,0.000023361109755734305,dry-run,0,,2026-09-23T22:46:18.920Z,2026-09-23T22:46:20.244Z,,
7a2b6CfvrjyDuZLDJAdqgHsxRzCiT675h6bNT4zjpump,CLOSED,0.03,3.2578953506041565e-7,3.859116229368409e-7,TAKE_PROFIT_1,0.005536281685531363,0.000580389719013022,0.0049558919665183415,16.519639888394472,18.454272285104544,0,2554,,85,0,,,0.000030389719013021946,dry-run,0,,2026-09-23T22:54:46.538Z,2026-09-23T22:54:49.092Z,,
6HLwNZiLS2upd7su4zjWPtnkiz6aBp29HL36V7Uk3v6R,CLOSED,0.03,3.759632202555835e-7,4.347645489180565e-7,TAKE_PROFIT_1,0.004692054341578886,0.0005775346157705528,0.004114519725808333,13.715065752694445,15.640181138596295,-0.1677053756225426,46031,,69,0,laserstream,pumpswap,0.000027534615770552736,dry-run,0,,2026-09-23T22:57:50.750Z,2026-09-23T22:58:36.781Z,,
DPn7gftqX31hbeV2jeugKstkcLf2x3UYRPaDcGZDpump,CLOSED,0.03,3.259607691192036e-7,2.7655307630772174e-7,STOP_LOSS,-0.004547267416105541,0.0005738719107798417,-0.005121139326885383,-17.070464422951275,3.658997822695383,-15.157558053685142,7041,,85,0,,,0.000023871910779841698,dry-run,0,,2026-09-23T23:04:28.046Z,2026-09-23T23:04:35.087Z,,
AdZd56X3ZMshpb4ejsE1AKkxgBrqKLV3HmhGpMjxpump,CLOSED,0.03,3.257895369018849e-7,3.791684263591823e-7,TAKE_PROFIT_1,0.004915341047926871,0.0005799504071508163,0.004335390640776054,14.451302135920182,16.38447015975624,-5.054506503573036,86390,,84,0,,,0.00002995040715081628,dry-run,0,,2026-09-23T23:03:42.212Z,2026-09-23T23:05:08.602Z,,
Fn9cGz6iLubpjZSJF6wiBD2zbdqANubuQ64UKSDXpump,CLOSED,0.015,3.247086855927249e-7,3.845521117843463e-7,TAKE_PROFIT_1,0.0027644822350093366,0.0004826115836623107,0.002281870651347026,15.212471008980172,18.429881566728923,-0.7035576089968737,8005,,81,0,,,0.000007611583662310674,dry-run,1,"[""relaxed_h5_top10""]",2026-09-23T23:05:42.612Z,2026-09-23T23:05:50.617Z,,
